id,row_index,col_index,P_2001mean,P_2002mean,P_2003mean,P_2004mean,P_2005mean,P_2006mean,P_2007mean,P_2008mean,P_2009mean,P_2010mean,P_2011mean,P_2012mean,P_2013mean,P_2014mean,P_2015mean,P_2016mean,P_2017mean,P_2018mean,P_2019mean,P_2020mean
1828,67,16,1623.806504,2026.822193,2034.780356,2187.738519,1971.853571,2466.691452,1748.785585,2395.707141,1974.785585,1867.822193,1678.780356,1823.72806,1630.775126,2064.775126,2535.733289,1521.900637,1825.775126,2226.785585,2046.738519,1669.72806
1829,68,16,1671.450032,2088.331898,2107.211554,2267.12566,2041.306898,2554.003107,1819.22634,2476.069491,2041.255912,1935.311929,1734.34699,1889.214529,1699.246004,2145.142655,2627.027189,1593.331133,1898.201799,2315.078634,2117.221463,1729.258886
1830,69,16,1711.95914,2136.817989,2164.500614,2334.066028,2099.437878,2627.996693,1873.874945,2542.137843,2095.001235,1994.316127,1781.020634,1943.852247,1762.612044,2212.097805,2704.52331,1654.982653,1959.869164,2389.078405,2183.215016,1778.600908
1831,70,16,1757.59466,2189.374346,2226.995401,2403.042615,2159.920225,2704.483115,1933.116096,2608.828339,2153.379409,2059.260259,1830.440244,2002.362548,1824.559964,2285.395294,2784.438293,1715.975023,2025.895782,2464.860238,2247.732088,1829.134779
1832,71,16,1813.532963,2251.873375,2299.871139,2486.52945,2231.423939,2793.730696,2004.873548,2690.936899,2221.069823,2136.212046,1889.647315,2072.231919,1897.426454,2370.006864,2879.661271,1784.750077,2100.415344,2553.2874,2324.141166,1890.794396
1833,72,16,1868.1441,2314.350897,2371.446484,2568.21615,2301.834318,2880.269054,2075.392981,2771.818094,2285.938415,2212.625625,1947.491062,2142.43927,1969.808472,2451.940126,2973.462023,1852.873993,2174.202322,2640.065165,2404.072379,1951.519317
1834,73,16,1915.370366,2371.986205,2435.668563,2640.267791,2365.899753,2958.098277,2138.433982,2842.660502,2342.751659,2282.810012,1998.442078,2207.971499,2036.008046,2525.865112,3057.312889,1916.550267,2242.991434,2717.670435,2484.316177,2004.78824
1835,74,16,1960.055848,2428.585113,2495.913799,2712.489584,2431.286746,3038.929615,2202.247834,2912.505592,2398.601122,2352.485027,2048.328861,2274.229528,2102.321813,2600.844977,3139.003594,1979.977119,2309.368333,2791.68101,2570.648801,2056.304452
1836,75,16,2015.773801,2493.745875,2567.681646,2794.648135,2507.765423,3129.600661,2279.681646,2995.606246,2464.701194,2432.751461,2109.709572,2351.673268,2180.698402,2688.667683,3230.617417,2050.790557,2388.698402,2876.670476,2671.698402,2117.678853
1837,76,16,2078.232659,2567.570146,2647.181588,2882.676426,2587.278363,3232.762514,2364.866885,3088.364088,2540.420253,2517.935646,2182.577604,2442.529261,2266.836506,2785.209464,3335.663555,2128.405336,2477.668967,2967.529261,2784.333935,2182.983626
1838,77,16,2160.815894,2661.387339,2755.179328,3002.563427,2692.002737,3370.617599,2481.32669,3221.549701,2643.308029,2629.508598,2276.348012,2556.874847,2379.268045,2914.53501,3476.889036,2224.047347,2592.710635,3088.385334,2922.721699,2272.250041
1839,78,16,2235.530488,2748.926058,2853.70129,3108.893844,2790.431173,3498.45193,2590.177113,3338.679537,2736.803213,2733.32925,2363.252666,2663.865898,2479.378866,3032.038875,3604.149083,2309.353842,2699.236444,3195.556775,3051.865666,2351.048305
1840,79,16,2295.713984,2819.738468,2930.531362,3194.490994,2870.82454,3601.726732,2680.273092,3432.134412,2810.62597,2817.650957,2435.100889,2753.728426,2563.459669,3128.48698,3707.187523,2380.614229,2786.447052,3282.421436,3155.824289,2414.932452
1841,80,16,2349.508305,2880.864654,2996.336774,3269.258597,2942.359781,3693.76265,2762.193309,3514.013455,2875.353638,2893.858884,2499.244612,2835.913945,2642.101147,3215.864437,3797.51593,2446.69034,2865.094402,3359.386173,3242.259681,2470.589265
1842,81,16,2408.907331,2945.681441,3069.709211,3348.714839,3020.506595,3796.671322,2853.406407,3602.742608,2947.814649,2979.650311,2569.213903,2926.274323,2728.876948,3312.560633,3894.539238,2519.353871,2952.259688,3441.980508,3327.658942,2528.743343
1843,82,16,2484.401443,3033.433894,3171.432332,3457.49454,3120.62337,3932.71303,2973.678705,3725.56366,3043.48919,3087.641724,2667.509653,3045.676049,2838.617825,3440.733455,4029.670777,2611.522111,3064.600291,3552.535192,3442.644926,2610.28589
1844,83,16,2543.843794,3099.811154,3241.785508,3536.755199,3204.82864,4038.726057,3070.769188,3814.740045,3117.796,3175.811154,2743.799497,3142.768022,2926.791337,3543.766857,4131.721394,2684.82864,3151.78784,3634.764525,3532.797165,2664.790171
1845,84,16,2575.187745,3139.217948,3282.976499,3578.84461,3255.875888,4107.681651,3137.035705,3864.890038,3159.888254,3232.22462,2791.264392,3210.827751,2985.895942,3612.719206,4191.719393,2733.187312,3209.102881,3683.124382,3590.109986,2697.03048
1846,85,16,2593.118719,3161.847302,3302.05744,3599.533116,3293.375251,4151.781269,3180.073195,3890.275706,3184.328231,3271.102584,2821.591142,3256.325227,3025.837796,3656.817161,4227.264575,2768.119717,3248.085076,3709.800405,3625.33986,2709.812037
1847,86,16,2594.425786,3166.129625,3297.621358,3599.05144,3306.168976,4164.361332,3194.699085,3886.438666,3183.934466,3284.723729,2828.696327,3275.728728,3040.28819,3670.542531,4231.025302,2783.043559,3259.410621,3713.359321,3635.993005,2705.931479
